tradeDate,标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
2026-02-26,513300,纳斯达克,1338161772,101854589,98291227,0,0,0
2026-02-26,513310,中韩芯片,386968474,395091335,374641416,0,0,0
2026-02-26,513330,恒生互联,1871901730,368385605,298361911,23394000,1125300,0
2026-02-26,513350,油气ETF,32906282,63822912,64328878,0,0,0
2026-02-26,513380,科技恒生,162354950,26400569,22887239,0,0,0
2026-02-26,513390,纳指基金,58015814,3642357,2866425,0,0,0
2026-02-26,513400,道琼斯,68103389,17526833,21648109,0,0,0
2026-02-26,513500,标普500,210200959,3179171,11664745,0,0,0
2026-02-26,513520,日经ETF,73134057,43103332,23721854,0,0,0
2026-02-26,513530,XD港股红,83385516,7570481,4894722,0,0,0
2026-02-26,513550,港股通50,8084256,4567047,3036890,0,0,0
2026-02-26,513560,香港科技,23199107,5841884,5639991,0,0,0
2026-02-26,513580,HS科技,100685731,2390469,1513820,0,0,0
2026-02-26,513600,恒指ETF,104715591,12096883,6451965,0,0,0
2026-02-26,513630,香港红利,221865806,35164999,32397300,0,0,0
2026-02-26,513650,标普ETF,44648388,1474960,2469520,0,0,0
2026-02-26,513660,恒生通,225927283,6893627,3939061,0,0,0
2026-02-26,513690,恒生股息,48529950,12394024,5730408,0,0,0
2026-02-26,513700,香港医药,63531641,8250099,9839939,0,0,0
2026-02-26,513730,东南亚,39262786,7120601,4662806,0,0,0
2026-02-26,513750,港股非银,277074236,57927073,61121819,0,0,0
2026-02-26,513770,港股互联,176140611,59716432,67564625,0,0,0
2026-02-26,513780,港股新药,125127756,12733439,23083833,0,0,0
2026-02-26,513800,东证ETF,42922188,10165531,17431780,0,0,0
2026-02-26,513820,港股分红,29069101,2183866,5702030,0,0,0
2026-02-26,513850,美国50,155567272,8583757,5185793,0,0,0
2026-02-26,513860,HKC科技,51844480,15400869,14161951,0,0,0
2026-02-26,513870,纳指指数,156900131,17053257,19084382,0,0,0
2026-02-26,513880,日经225,54512319,13251636,12901693,0,0,0
2026-02-26,513890,HK科技,11700516,2394967,3472262,0,0,0
2026-02-26,513910,红利央企,67000556,2090235,961865,0,0,0
2026-02-26,513920,央企40,67110939,13443418,7356007,0,0,0
2026-02-26,513950,恒生红利,34618723,1272211,2299060,0,0,0
2026-02-26,513970,恒生消费,94204046,3092752,3561567,0,0,0
2026-02-26,513980,科技港股,380720429,84777936,78123642,0,0,0
2026-02-26,515000,科技ETF,45953253,3578865,4659638,0,0,0
2026-02-26,515010,华夏证券,36008913,1496082,4954694,0,0,0
2026-02-26,515020,银行指数,2263541,1385385,3113473,0,0,0
2026-02-26,515030,新汽车,34739527,6042134,6598226,2655000,6100,15000
2026-02-26,515050,5GETF,64384978,14650918,13142935,10369200,22200,11000
2026-02-26,515060,华夏地产,7370104,903941,409743,0,0,0
2026-02-26,515070,AI智能,130500841,9821357,15731412,0,0,0
2026-02-26,515080,中证红利,82058763,14622122,9689174,0,0,0
2026-02-26,515100,红利100,111145828,4378125,4412191,22043500,0,0
2026-02-26,515120,创新药,352958895,29469232,35578111,2030600,0,0
2026-02-26,515170,食品饮料,138211647,7001331,5016512,0,0,0
2026-02-26,515180,100红利,32278884,8911150,7406790,203200,0,140000
2026-02-26,515210,钢铁ETF,34875052,12478911,13298762,0,0,10000
2026-02-26,515220,煤炭ETF,209771413,41857940,39667327,3722500,527400,1723300
2026-02-26,515230,软件ETF,289919634,24578002,32033357,6797000,0,0
2026-02-26,515250,智能汽车,12209910,3490219,3056400,302200,42000,177000
2026-02-26,515260,电子ETF,3099851,1583476,1073039,0,0,0
2026-02-26,515290,银行,17022636,1405347,4211136,40600,0,0
2026-02-26,515300,红利300,15801057,1707635,5163957,2511000,47700,10000
2026-02-26,515330,天弘300,1888432,115972,75642,30300,0,0
2026-02-26,515370,中证光伏,6128690,402316,1936583,0,0,0
2026-02-26,515380,泰康300,2054310,478819,1145247,0,0,0
2026-02-26,515390,HS300,1082706,372587,82227,0,0,0
2026-02-26,515400,大数据,85706221,8510260,10883017,12652100,0,0
2026-02-26,515450,红利50,74629382,3691718,3264307,2810000,0,0
2026-02-26,515580,中证科技,4350955,652717,120750,0,0,0
2026-02-26,515600,央企创新,159972,83072,7502,0,0,0
2026-02-26,515630,保险证券,23043709,1071781,1273768,0,0,0
2026-02-26,515650,消费50,82941861,6149091,4537459,153200,0,0
2026-02-26,515700,新能车,30731227,2264049,2696091,2019400,0,6900
2026-02-26,515710,食品ETF,41602726,2130465,910484,0,0,0
2026-02-26,515720,金科富国,9805776,1402612,963563,0,0,0
2026-02-26,515750,科技50,5606403,2285563,1169917,0,0,0
2026-02-26,515790,光伏ETF,382828750,16598310,26446351,8480800,552100,50000
