tradeDate,证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股/份),融券余量(股/份),融券余额(元),融资融券余额(元)
20260224,000550,江铃汽车,6288713,133261431,600,62200,1140748,134402179
20260224,000551,创元科技,21639284,451690511,0,28240,428965,452119476
20260224,000552,甘肃能化,27756441,436431194,1100,364100,917532,437348726
20260224,000553,安道麦A,9632593,98702693,200,1200,7428,98710121
20260224,000554,泰山石油,13633574,257972619,0,22000,191840,258164459
20260224,000555,神州信息,61448684,550159745,0,15700,276006,550435751
20260224,000557,西部创业,8782974,240606609,27300,186800,930264,241536873
20260224,000558,天府文旅,5574786,144915179,700,58300,299662,145214841
20260224,000559,万向钱潮,387599093,1272529342,87900,1312900,26100452,1298629794
20260224,000560,我爱我家,52081297,288054203,0,167700,551733,288605936
20260224,000563,陕国投Ａ,22816981,749953680,4800,133000,469490,750423170
20260224,000564,供销大集,29831269,655470479,100,115300,264037,655734516
20260224,000565,渝三峡Ａ,11805443,134890918,0,200,1724,134892642
20260224,000566,海南海药,14437036,348068909,0,0,0,348068909
20260224,000567,海德股份,5058518,111426644,0,50900,290639,111717283
20260224,000568,泸州老窖,182248957,2249012479,30600,276402,31095225,2280107704
20260224,000572,海马汽车,24569843,377323576,0,0,0,377323576
20260224,000581,威孚高科,39824470,493939771,5200,136900,2929660,496869431
20260224,000582,北部湾港,51877828,466739907,3800,299200,3108688,469848595
20260224,000589,贵州轮胎,9736834,319314339,0,25100,128763,319443102
20260224,000591,太阳能,42796946,921247148,283700,711200,3932936,925180084
20260224,000592,平潭发展,164786611,767689899,0,127200,1390296,769080195
20260224,000593,德龙汇能,32681688,321672201,0,0,0,321672201
20260224,000596,古井贡酒,50299655,383713699,1800,42600,5273880,388987579
20260224,000598,兴蓉环境,16093094,548817134,0,152300,1091991,549909125
20260224,000600,建投能源,32955883,171739968,2600,48900,422985,172162953
20260224,000601,韶能股份,23336980,221664405,700,19600,104468,221768873
20260224,000603,盛达资源,210290134,1046145445,24100,65500,3256660,1049402105
20260224,000607,华媒控股,22652126,229763159,0,400,1884,229765043
20260224,000612,焦作万方,116451180,1146449772,0,103100,1452679,1147902451
20260224,000617,中油资本,68791898,2352314748,6300,542900,4848097,2357162845
20260224,000623,吉林敖东,44139614,1567183505,20700,788290,14717374,1581900879
20260224,000625,长安汽车,64194132,2667097452,30600,1269690,14195134,2681292586
20260224,000628,高新发展,121492987,870631554,25400,45500,2396940,873028494
20260224,000629,钒钛股份,87328807,828799290,453000,978500,3767225,832566515
20260224,000630,铜陵有色,472685844,2411884284,776100,2340700,17578657,2429462941
20260224,000631,顺发恒能,11128166,145205513,0,3200,12224,145217737
20260224,000636,风华高科,37372140,862406664,10400,185008,4329187,866735851
20260224,000639,西王食品,9127779,172468700,0,800,2328,172471028
20260224,000650,仁和药业,9604859,482367681,25300,399900,2359410,484727091
20260224,000651,格力电器,119171823,5964171594,64400,1050600,40374558,6004546152
20260224,000652,泰达股份,8303236,318309854,68900,122200,512018,318821872
20260224,000655,金岭矿业,17116211,185451349,0,0,0,185451349
20260224,000657,中钨高新,409183264,2608620276,85500,393252,21031117,2629651393
